Volcano_Name,Volcano_Image,Volcano_Type,Country,Region,Subregion,epoch_period,Last_Eruption,Summit_and_Elevatiuon,Latitude,Longitude,population_within_5km,population_within_10km,population_within_30km,population_within_100km,Latitude1,Longitude1,Elevation1,Placement
Dallol,https://volcano.si.edu/gallery/photos/GVP-09908.jpg,Explosion crater(s),Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,2011 CE,"-48 m, -157 ft",14.242°N,40.3°E,461,670,2372,820823,14.242,40.3,-48,Underwater
Dama Ali,https://volcano.si.edu/gallery/photos/GVP-11170.jpg,Shield,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,1631 CE,"1068 m, 3504 ft",11.28°N,41.63°E,24,1944,40013,353949,11.28,41.63,1068,On land
Dofan,https://volcano.si.edu/gallery/photos/GVP-11218.jpg,Shield,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,"1151 m, 3776 ft",9.35°N,40.13°E,1900,12452,54928,2900053,9.35,40.13,1151,On land
Dubbi,https://volcano.si.edu/gallery/photos/GVP-08975.jpg,Stratovolcano,Eritrea,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,1861 CE,"1625 m, 5331 ft",13.579°N,41.809°E,0,0,18,14867,13.579,41.809,1625,On land
East Chamo Basin,https://volcano.si.edu/gallery/photos/GVP-12578.jpg,Pyroclastic cone(s),Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,"1150 m, 3773 ft",5.708°N,37.713°E,78416,78416,194759,2991755,5.708,37.713,1150,On land
East Ziway,https://volcano.si.edu/gallery/photos/GVP-11521.jpg,Fissure vent(s),Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,"1889 m, 6198 ft",7.874°N,38.902°E,85845,85845,432279,6051149,7.874,38.902,1889,On land
"Eburru, Ol Doinyo",https://volcano.si.edu/gallery/photos/GVP-11159.jpg,Complex,Kenya,Africa and Red Sea,Africa (eastern),holocene,Unknown - Evidence Credible,"2856 m, 9370 ft",0.65°S,36.22°E,460,9365,323529,7992639,-0.65,36.22,2856,On land
Elmenteita Badlands,https://volcano.si.edu/gallery/photos/GVP-11158.jpg,Pyroclastic cone(s),Kenya,Africa and Red Sea,Africa (eastern),holocene,Unknown - Evidence Credible,"2126 m, 6975 ft",0.52°S,36.27°E,134553,134553,445904,6117963,-0.52,36.27,2126,On land
Emuruangogolak,https://volcano.si.edu/gallery/photos/GVP-10040.jpg,Shield,Kenya,Africa and Red Sea,Africa (eastern),holocene,1910 CE,"1285 m, 4216 ft",1.5°N,36.33°E,80,252,4448,445177,1.5,36.33,1285,On land
Erta Ale,https://volcano.si.edu/gallery/photos/GVP-09909.jpg,Shield,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,2022 CE,"613 m, 2011 ft",13.6°N,40.67°E,2685,2796,8857,235083,13.6,40.67,613,On land
Fentale,https://volcano.si.edu/gallery/photos/GVP-12075.jpg,Stratovolcano,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,1820 CE,"2007 m, 6585 ft",8.975°N,39.93°E,1919,14201,169357,3482286,8.975,39.93,2007,On land
Fort Portal,https://volcano.si.edu/gallery/photos/GVP-12069.jpg,Tuff cone(s),Uganda,Africa and Red Sea,Africa (central),holocene,2120 BCE,"1615 m, 5299 ft",0.7°N,30.25°E,242914,242914,498815,4167189,0.7,30.25,1615,On land
Gabillema,https://volcano.si.edu/gallery/photos/GVP-11171.jpg,Stratovolcano,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,"1459 m, 4787 ft",11.08°N,41.27°E,248,772,12626,373968,11.08,41.27,1459,On land
Gada Ale,https://volcano.si.edu/gallery/photos/GVP-09905.jpg,Stratovolcano,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,"287 m, 942 ft",13.975°N,40.408°E,101,605,4827,618972,13.975,40.408,287,On land
Gedamsa,https://volcano.si.edu/gallery/photos/GVP-11161.jpg,Caldera,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,"1873 m, 6145 ft",8.357°N,39.188°E,216008,216008,744211,8000105,8.357,39.188,1873,On land
Groppo,https://volcano.si.edu/gallery/photos/GVP-12572.jpg,Volcanic field,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,"852 m, 2795 ft",11.816°N,40.242°E,2411,10358,93790,2462199,11.816,40.242,852,On land
Gufa,https://volcano.si.edu/gallery/photos/GVP-11217.jpg,Volcanic field,Eritrea,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,"600 m, 1969 ft",12.55°N,42.53°E,1651,1651,6301,186649,12.55,42.53,600,On land
Hanish,https://volcano.si.edu/gallery/photos/GVP-11723.jpg,Shield,Yemen,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,"422 m, 1385 ft",13.72°N,42.73°E,219,304,811,850223,13.72,42.73,422,On land
Hayli Gubbi,https://volcano.si.edu/gallery/photos/GVP-09901.jpg,Shield,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,"493 m, 1617 ft",13.51°N,40.722°E,0,83,4266,179357,13.51,40.722,493,On land
Hertali,https://volcano.si.edu/gallery/photos/GVP-11728.jpg,Fissure vent,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,"900 m, 2953 ft",9.78°N,40.33°E,474,2243,65271,2279187,9.78,40.33,900,On land
Homa Mountain,https://volcano.si.edu/gallery/photos/GVP-09471.jpg,Complex,Kenya,Africa and Red Sea,Africa (eastern),holocene,Unknown - Evidence Credible,"1751 m, 5745 ft",0.38°S,34.5°E,16124,60670,628701,10069120,-0.38,34.5,1751,On land
Igwisi Hills,https://volcano.si.edu/gallery/photos/GVP-12579.jpg,Pyroclastic cone(s),Tanzania,Africa and Red Sea,Africa (eastern),holocene,10450 BCE,"1146 m, 3760 ft",4.889°S,31.933°E,37034,37034,105827,774440,-4.889,31.933,1146,On land
Karisimbi,https://volcano.si.edu/gallery/photos/GVP-11189.jpg,Stratovolcano,DR Congo,Africa and Red Sea,Africa (central),holocene,8050 BCE,"4490 m, 14731 ft",1.506°S,29.45°E,9657,85615,1198124,10835260,-1.506,29.45,4490,On land
Katunga,https://volcano.si.edu/includes/images/noimage.jpg,Tuff cone,Uganda,Africa and Red Sea,Africa (central),holocene,Unknown - Evidence Credible,"1707 m, 5600 ft",0.471°S,30.191°E,9430,144953,657740,5787434,-0.471,30.191,1707,On land
Katwe-Kikorongo,https://volcano.si.edu/gallery/photos/GVP-12068.jpg,Tuff cone(s),Uganda,Africa and Red Sea,Africa (central),holocene,Unknown - Evidence Credible,"1067 m, 3501 ft",0.08°S,29.92°E,446218,446218,578503,6241035,-0.08,29.92,1067,On land
Kone,https://volcano.si.edu/gallery/photos/GVP-10423.jpg,Caldera(s),Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,1820 CE,"1380 m, 4528 ft",8.788°N,39.701°E,7289,27271,255387,4245801,8.788,39.701,1380,On land
Korath Range,https://volcano.si.edu/gallery/photos/GVP-11500.jpg,Tuff cone(s),Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Uncertain,"912 m, 2992 ft",5.1°N,35.88°E,24549,24549,48969,270726,5.1,35.88,912,On land
Korosi,https://volcano.si.edu/gallery/photos/GVP-10037.jpg,Shield,Kenya,Africa and Red Sea,Africa (eastern),holocene,Unknown - Evidence Credible,"1446 m, 4744 ft",0.77°N,36.12°E,1256,9641,85474,2051312,0.77,36.12,1446,On land
"Koussi, Emi",https://volcano.si.edu/gallery/photos/GVP-10350.jpg,Pyroclastic shield,Chad,Africa and Red Sea,Africa (northern),holocene,Unknown - Evidence Credible,"3415 m, 11204 ft",19.8°N,18.53°E,0,8,26,1616,19.8,18.53,3415,On land
Kurub,https://volcano.si.edu/gallery/photos/GVP-11172.jpg,Shield,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,"625 m, 2051 ft",11.88°N,41.208°E,8,9,64938,341992,11.88,41.208,625,On land
Kutum Volcanic Field,https://volcano.si.edu/gallery/photos/GVP-11122.jpg,Pyroclastic cone(s),Sudan,Africa and Red Sea,Africa (northern),holocene,Unknown - Evidence Uncertain,"1779 m, 5837 ft",14.57°N,25.85°E,30569,30569,30569,194797,14.57,25.85,1779,On land
Kyatwa,https://volcano.si.edu/gallery/photos/GVP-11495.jpg,Tuff cone(s),Uganda,Africa and Red Sea,Africa (central),holocene,Unknown - Evidence Uncertain,"1430 m, 4692 ft",0.45°N,30.25°E,271685,271685,537190,4350194,0.45,30.25,1430,On land
Kyejo,https://volcano.si.edu/gallery/photos/GVP-12128.jpg,Stratovolcano,Tanzania,Africa and Red Sea,Africa (eastern),holocene,1800 CE,"2176 m, 7139 ft",9.229°S,33.792°E,2259,38428,378511,2263665,-9.229,33.792,2176,On land
"Lengai, Ol Doinyo",https://volcano.si.edu/gallery/photos/GVP-00195.jpg,Stratovolcano,Tanzania,Africa and Red Sea,Africa (eastern),holocene,2022 CE,"2962 m, 9718 ft",2.764°S,35.914°E,186,1855,18074,545305,-2.764,35.914,2962,On land
Liado Hayk,https://volcano.si.edu/gallery/photos/GVP-12574.jpg,Maar(s),Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Uncertain,"878 m, 2881 ft",9.57°N,40.28°E,22847,22847,54244,2688559,9.57,40.28,878,On land
Longonot,https://volcano.si.edu/gallery/photos/GVP-09411.jpg,Stratovolcano,Kenya,Africa and Red Sea,Africa (eastern),holocene,1863 CE,"2776 m, 9108 ft",0.914°S,36.446°E,809,17893,410677,8750154,-0.914,36.446,2776,On land
Ma Alalta,https://volcano.si.edu/gallery/photos/GVP-11180.jpg,Stratovolcano,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,"1745 m, 5725 ft",13.013°N,40.185°E,3925,25246,66381,1332833,13.013,40.185,1745,On land
Mallahle,https://volcano.si.edu/gallery/photos/GVP-11209.jpg,Stratovolcano,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Uncertain,"1875 m, 6152 ft",13.27°N,41.65°E,912,1454,3830,30930,13.27,41.65,1875,On land
Manda Gargori,https://volcano.si.edu/gallery/photos/GVP-12573.jpg,Fissure vent(s),Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,"700 m, 2297 ft",11.75°N,41.48°E,284,1127,74334,310427,11.75,41.48,700,On land
Manda Hararo,https://volcano.si.edu/gallery/photos/GVP-11949.jpg,Shield(s),Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,2009 CE,"600 m, 1969 ft",12.17°N,40.82°E,191,857,7455,419204,12.17,40.82,600,On land
Manda-Inakir,https://volcano.si.edu/gallery/photos/GVP-11215.jpg,Fissure vent(s),Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,1928 CE,"600 m, 1969 ft",12.38°N,42.2°E,116,1130,15991,223924,12.38,42.2,600,On land
Manzaz Volcanic Field,https://volcano.si.edu/gallery/photos/GVP-11928.jpg,Pyroclastic cone(s),Algeria,Africa and Red Sea,Africa (northern),holocene,Unknown - Evidence Credible,"1672 m, 5486 ft",23.92°N,5.83°E,1196,1196,1326,5278,23.92,5.83,1672,On land
"Marra, Jebel",https://volcano.si.edu/gallery/photos/GVP-11929.jpg,Volcanic field,Sudan,Africa and Red Sea,Africa (northern),holocene,2000 BCE,"3042 m, 9980 ft",12.95°N,24.27°E,638,8692,120061,983802,12.95,24.27,3042,On land
Marsabit,https://volcano.si.edu/gallery/photos/GVP-10434.jpg,Shield,Kenya,Africa and Red Sea,Africa (eastern),holocene,Unknown - Evidence Uncertain,"1707 m, 5600 ft",2.32°N,37.97°E,16804,22677,49742,111322,2.32,37.97,1707,On land
Mat Ala,https://volcano.si.edu/gallery/photos/GVP-11214.jpg,Shield,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,"493 m, 1617 ft",13.106°N,41.161°E,45,92,6756,83190,13.106,41.161,493,On land
Mega Volcanic Field,https://volcano.si.edu/gallery/photos/GVP-12556.jpg,Volcanic field,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,"1500 m, 4921 ft",3.971°N,38.213°E,,,,,3.971,38.213,1500,On land
Meidob Volcanic Field,https://volcano.si.edu/gallery/photos/GVP-10435.jpg,Pyroclastic cone(s),Sudan,Africa and Red Sea,Africa (northern),holocene,2950 BCE,"2000 m, 6562 ft",15.32°N,26.47°E,5140,5140,5140,24193,15.32,26.47,2000,On land
Menengai,https://volcano.si.edu/gallery/photos/GVP-11157.jpg,Shield,Kenya,Africa and Red Sea,Africa (eastern),holocene,6050 BCE,"2278 m, 7474 ft",0.2°S,36.07°E,2192,204608,886293,4259089,-0.2,36.07,2278,On land
Meru,https://volcano.si.edu/gallery/photos/GVP-09420.jpg,Stratovolcano,Tanzania,Africa and Red Sea,Africa (eastern),holocene,1910 CE,"4550 m, 14928 ft",3.244°S,36.75°E,0,2506,828942,2375631,-3.244,36.75,4550,On land
Mousa Alli,https://volcano.si.edu/gallery/photos/GVP-11216.jpg,Stratovolcano,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,"1993 m, 6539 ft",12.469°N,42.404°E,132,1148,11607,201977,12.469,42.404,1993,On land
Muhavura,https://volcano.si.edu/gallery/photos/GVP-11188.jpg,Stratovolcano,Uganda,Africa and Red Sea,Africa (central),holocene,Unknown - Evidence Credible,"4103 m, 13461 ft",1.383°S,29.678°E,10680,197162,1189226,10833809,-1.383,29.678,4103,On land
Nabro,https://volcano.si.edu/gallery/photos/GVP-11210.jpg,Stratovolcano,Eritrea,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,2012 CE,"2218 m, 7277 ft",13.37°N,41.7°E,24,145,2713,26881,13.37,41.7,2218,On land
Namarunu,https://volcano.si.edu/gallery/photos/GVP-10041.jpg,Shield,Kenya,Africa and Red Sea,Africa (eastern),holocene,6550 BCE,"817 m, 2680 ft",1.98°N,36.43°E,47,537,7073,186674,1.98,36.43,817,On land
Ngozi,https://volcano.si.edu/gallery/photos/GVP-11194.jpg,Caldera,Tanzania,Africa and Red Sea,Africa (eastern),holocene,1450 CE,"2614 m, 8576 ft",8.989°S,33.554°E,456466,456466,604376,2195623,-8.989,33.554,2614,On land
North Island,https://volcano.si.edu/gallery/photos/GVP-10044.jpg,Tuff cone(s),Kenya,Africa and Red Sea,Africa (eastern),holocene,Unknown - Evidence Credible,"490 m, 1608 ft",4.059°N,36.049°E,21,21,7326,180900,4.059,36.049,490,On land
Northern Lake Abaya Volcanic Field,https://volcano.si.edu/gallery/photos/GVP-12576.jpg,Volcanic field,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,"1594 m, 5230 ft",6.76°N,37.97°E,,,,,6.76,37.97,1594,On land
Nyambeni Hills,https://volcano.si.edu/gallery/photos/GVP-11219.jpg,Shield,Kenya,Africa and Red Sea,Africa (eastern),holocene,Unknown - Evidence Credible,"750 m, 2461 ft",0.23°N,37.87°E,13389,107199,768936,2781323,0.23,37.87,750,On land
Nyamulagira,https://volcano.si.edu/gallery/photos/GVP-10984.jpg,Shield,DR Congo,Africa and Red Sea,Africa (central),holocene,2022 CE,"3058 m, 10033 ft",1.408°S,29.2°E,3751,27027,711356,8333476,-1.408,29.2,3058,On land
Nyiragongo,https://volcano.si.edu/gallery/photos/GVP-05864.jpg,Stratovolcano,DR Congo,Africa and Red Sea,Africa (central),holocene,2022 CE,"3470 m, 11385 ft",1.52°S,29.25°E,2416,31145,1006436,9087529,-1.52,29.25,3470,On land
O'a Caldera,https://volcano.si.edu/gallery/photos/GVP-10425.jpg,Caldera,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,"2075 m, 6808 ft",7.47°N,38.58°E,148588,148588,477361,8808566,7.47,38.58,2075,On land
Oku Volcanic Field,https://volcano.si.edu/gallery/photos/GVP-00264.jpg,Stratovolcano,Cameroon,Africa and Red Sea,Africa (western),holocene,Unknown - Evidence Uncertain,"3011 m, 9879 ft",6.25°N,10.5°E,131944,131944,399741,3698980,6.25,10.5,3011,On land
Ol Kokwe,https://volcano.si.edu/gallery/photos/GVP-10036.jpg,Shield,Kenya,Africa and Red Sea,Africa (eastern),holocene,Unknown - Evidence Credible,"1130 m, 3707 ft",0.62°N,36.075°E,151,8229,115689,2700016,0.62,36.075,1130,On land
Olkaria,https://volcano.si.edu/gallery/photos/GVP-11160.jpg,Pyroclastic cone(s),Kenya,Africa and Red Sea,Africa (eastern),holocene,1770 CE,"2434 m, 7986 ft",0.904°S,36.292°E,59747,59747,208003,8437829,-0.904,36.292,2434,On land
Paka,https://volcano.si.edu/gallery/photos/GVP-10038.jpg,Shield,Kenya,Africa and Red Sea,Africa (eastern),holocene,7550 BCE,"1697 m, 5568 ft",0.92°N,36.18°E,468,4354,62835,1256175,0.92,36.18,1697,On land
Rungwe,https://volcano.si.edu/gallery/photos/GVP-12126.jpg,Stratovolcano,Tanzania,Africa and Red Sea,Africa (eastern),holocene,1250 CE,"2953 m, 9688 ft",9.135°S,33.668°E,644,20713,393819,2299914,-9.135,33.668,2953,On land
San Carlos,https://volcano.si.edu/gallery/photos/GVP-11732.jpg,Shield,Equatorial Guinea,Africa and Red Sea,Africa (western),holocene,Unknown - Evidence Credible,"2260 m, 7415 ft",3.35°N,8.52°E,0,428,15688,142724,3.35,8.52,2260,On land
San Joaquin,https://volcano.si.edu/gallery/photos/GVP-11731.jpg,Shield,Equatorial Guinea,Africa and Red Sea,Africa (western),holocene,Unknown - Evidence Credible,"2009 m, 6591 ft",3.35°N,8.63°E,706,1432,16190,349646,3.35,8.63,2009,On land
Santa Isabel,https://volcano.si.edu/gallery/photos/GVP-11114.jpg,Shield,Equatorial Guinea,Africa and Red Sea,Africa (western),holocene,1923 CE,"2999 m, 9839 ft",3.588°N,8.762°E,95977,95977,117500,506900,3.588,8.762,2999,On land
Segererua Plateau,https://volcano.si.edu/gallery/photos/GVP-11739.jpg,Pyroclastic cone(s),Kenya,Africa and Red Sea,Africa (eastern),holocene,Unknown - Evidence Credible,"699 m, 2293 ft",1.57°N,37.9°E,5211,5211,11949,147996,1.57,37.9,699,On land
Silali,https://volcano.si.edu/gallery/photos/GVP-10039.jpg,Shield,Kenya,Africa and Red Sea,Africa (eastern),holocene,5050 BCE,"1528 m, 5013 ft",1.15°N,36.23°E,157,784,18705,917921,1.15,36.23,1528,On land
